#Name;Raw;Isin;Last;Close;High;Low;Open
Accor;AC;FR0000120404;25.48;24.77;25.49;24.86;24.77
Air Liquide;AI;FR0000120073;93.79;93.22;93.95;93.24;93.22
Alcatel-lucent;ALU;FR0000130007;0.820;0.798;0.820;0.800;0.798
Alstom;ALO;FR0010220475;27.07;26.79;27.52;26.90;26.79
Arcelormittal;MT;LU0323134006;11.70;11.54;11.79;11.63;11.54
Axa;CS;FR0000120628;12.34;12.22;12.36;12.26;12.22
BNP Paribas;BNP;FR0000131104;41.89;41.52;42.08;41.60;41.52
Bouygues;EN;FR0000120503;18.00;17.94;18.02;17.93;17.94
Cap Gemini;CAP;FR0000125338;31.15;30.90;31.20;30.96;30.90
Carrefour;CA;FR0000120172;18.94;18.95;19.05;18.80;18.95
Credit Agricole;ACA;FR0000045072;5.800;5.788;5.820;5.760;5.788
Danone;BN;FR0000120644;48.89;48.94;49.20;48.84;48.94
EADS;EAD;NL0000235190;25.31;25.41;25.62;25.28;25.41
EDF;EDF;FR0010242511;14.08;13.98;14.10;13.99;13.98
Essilor International;EI;FR0000121667;73.63;73.29;73.86;73.12;73.29
France Telecom;FTE;FR0000133308;8.16;8.23;8.28;8.15;8.23
GDF Suez;GSZ;FR0010208488;17.01;16.89;17.02;16.87;16.89
L'oréal;OR;FR0000120321;103.08;102.95;103.28;102.73;102.95
Lafarge;LG;FR0000120537;43.79;43.90;44.32;43.59;43.90
Legrand;LR;FR0010307819;29.70;29.46;29.81;29.50;29.46
LVMH;MC;FR0000121014;128.90;129.00;129.73;128.55;129.00
Michelin;ML;FR0000121261;69.05;68.45;69.14;68.50;68.45
Pernod Ricard;RI;FR0000120693;86.10;84.94;86.15;85.26;84.94
PPR;PP;FR0000121485;138.08;137.90;138.18;137.63;137.90
Publicis Groupe;PUB;FR0000130577;43.04;42.80;43.25;42.88;42.80
Renault;RNO;FR0000131906;38.02;37.15;38.09;37.47;37.15
Safran;SAF;FR0000073272;30.76;30.66;30.79;30.54;30.66
Saint-gobain;SGO;FR0000125007;29.84;29.70;29.85;29.55;29.70
Sanofi;SAN;FR0000120578;68.16;68.08;68.26;67.94;68.08
Schneider Electric;SU;FR0000121972;51.67;51.64;51.92;51.37;51.64
Société Générale;GLE;FR0000130809;26.69;26.64;26.90;26.39;26.64
Solvay;SOLB;BE0003470755;96.68;94.79;96.84;95.09;94.79
STMicroelectronics NV;STM;NL0000226223;4.660;4.625;4.660;4.620;4.625
Technip;TEC;FR0000131708;86.98;86.12;87.19;86.53;86.12
Total;FP;FR0000120271;38.21;38.22;38.36;38.02;38.22
Unibail Rodamco SE;UL;FR0000124711;169.38;168.95;170.63;169.10;168.95
Vallourec;VK;FR0000120354;37.85;37.58;38.07;37.71;37.58
Veolia Environnement VE;VIE;FR0000124141;8.090;7.900;8.200;7.970;7.900
Vinci;DG;FR0000125486;33.26;33.23;33.58;33.12;33.23
Vivendi;VIV;FR0000127771;16.41;16.36;16.47;16.31;16.36
